file_name,unicode,lexical_diversity,burstiness,average_sentence_length,text_entropy,stop_word_ratio,word_length_variation,punctuation_ratio,repetition_score,perplexity
182648157.txt,0.0,0.6424032351242056,4.111165740076592,14.305785123966942,9.508916161753412,0.16998827667057445,3.9304205061035233,0.02362774779518231,0.04193909793069267,
182710542.txt,0.0,0.565183450429352,4.27868802609708,14.724137931034482,9.6636075335571,0.19703472493172064,3.8087577592172863,0.029641470655400775,0.06245555365552036,
182711674.txt,0.0,0.5790529695024077,4.015218396936581,15.872611464968152,9.74322341760981,0.16835699797160245,3.8664213888236385,0.026768552810463645,0.07387055697043515,
182795511.txt,0.0,0.6234887737478411,4.150484631129363,16.542857142857144,9.784556164508647,0.1750110766504209,3.90805761676106,0.025907258064516128,0.04499437813527074,
182795535.txt,0.0,0.6313905930470347,4.186649486671598,14.931297709923664,9.5707140320885,0.18149284253578732,3.8866352820832306,0.031424622964609746,0.034017439471004496,
182795963.txt,0.0,0.6175666438824333,4.279978700470921,12.612068965517242,10.019104512525043,0.18009478672985782,3.8711807070187,0.030648610121168925,0.048597574741409466,
182796001.txt,0.0,0.538997676734152,4.343897232480041,10.043333333333333,9.863337127941932,0.16851292379993285,3.8208853915796572,0.03350025231939754,0.09184771856225693,
182863217.txt,0.0,0.5509160630592246,4.2378288853973975,13.259887005649718,9.538438625957763,0.18430034129692832,3.8871749913365288,0.02740628166160081,0.07384288392154548,
182863943.txt,0.0,0.5767423649177761,4.367052685839359,12.161904761904761,9.791582038135349,0.15729882733522038,3.8745918238396375,0.03137290357578771,0.05380684549184783,
182948658.txt,0.0,0.5682074408117249,4.1371421229611895,12.492957746478874,9.762485714506052,0.17099236641221374,3.781687864219271,0.03310296253906766,0.06797012254865498,
182948712.txt,0.0,0.6016787485692484,4.171859567849477,12.723300970873787,9.8410615300867,0.1891575663026521,3.847208856768421,0.026127513131679044,0.040189793320729805,
182948905.txt,0.0,0.5276946107784432,4.115671040296443,17.695364238410598,9.697329532910839,0.16241917078737161,3.912597578261797,0.02983380256107529,0.11150401317775427,
183155529.txt,0.0,0.5721003134796239,4.4127771138264364,11.495495495495495,9.723166749155434,0.17783191230207065,3.802482544873557,0.03602978585634337,0.060524276190290716,
183155881.txt,0.0,0.5884401114206128,4.288748403628256,11.351778656126482,9.950603747133751,0.1655982905982906,3.823430553345585,0.03396438763615901,0.04756183058289515,
183155899.txt,0.0,0.5659589279498781,4.017289869622344,12.825892857142858,9.903679262299352,0.16666666666666666,3.775913036196741,0.033377016954705546,0.07016752459286674,
183155923.txt,0.0,0.5464684014869888,4.083709295554826,16.93006993006993,9.560321153126615,0.18679481821980778,3.9176176510406457,0.025009827044025157,0.07630298051919893,
183222969.txt,0.0,0.5645501053265122,4.27084314390247,11.742049469964664,9.963963664018216,0.18895166352793472,3.862146547784602,0.03399413406834164,0.05180814788226851,
183281033.txt,0.0,0.5718901453957996,4.145918871097289,15.283950617283951,9.70622424978903,0.19402374130167827,3.868381744873355,0.028196308318395428,0.05569641743341047,
183861814.txt,0.0,0.5453093812375249,3.749375779218443,14.735294117647058,9.66500944654533,0.16069975589910496,3.513431108105126,0.031055591499527198,0.0706194592595244,
183861823.txt,0.0,0.5967280163599182,4.448259126301971,13.00531914893617,9.70747832329766,0.2000820008200082,3.871432011648612,0.029826333766296242,0.04491672509840261,
183861844.txt,0.0,0.49296835760924157,4.094149004740999,14.48,10.01019881186675,0.18509803921568627,3.912876170172843,0.028765481422293248,0.09310139876786289,
183861979.txt,0.0,0.5739484396200815,4.158023378753645,18.897435897435898,9.47169499625914,0.19291161956034095,3.8637958990301526,0.025850122588210213,0.07069835759759246,
